title,link
Roundcube.Webmail.rcube_string_replacer.XSS,https://www.fortiguard.com/encyclopedia/ips/54673
OpenSSH.Terrapin.Attack,https://www.fortiguard.com/encyclopedia/ips/54577
GStreamer.gst-plugins-good.gstflacparse.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/54541
Netgate.pfSense.status_logs_filter_dynamic.php.Reflected.XSS,https://www.fortiguard.com/encyclopedia/ips/54543
WordPress.wp_lang.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/54545
Apple.Safari.Webkit.parent-tab.processing.XSS,https://www.fortiguard.com/encyclopedia/ips/54539
GStreamer.RealMedia.rmdemux.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/54536
quic-go.Crypto.Ack.Nil.Pointer.DoS,https://www.fortiguard.com/encyclopedia/ips/54531
Linux.Kernel.ksmbd.Compounded.Session.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/54512
Qlik.Sense.qmc.Directory.Traversal.Vulnerability,https://www.fortiguard.com/encyclopedia/ips/54477
PTC.Codebeamer.ALM.errorHandler.Reflected.XSS,https://www.fortiguard.com/encyclopedia/ips/54421
Directus.File.Collection.Import.SSRF,https://www.fortiguard.com/encyclopedia/ips/54414
FortiOS.webUI.JSON.params.DoS,https://www.fortiguard.com/encyclopedia/ips/54415
JumpServer.SessionViewSet.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54385
XWiki.User.Profile.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/54350
Sielco.Radio.Link.FM.Transmitters.Privilege.Escalation,https://www.fortiguard.com/encyclopedia/ips/54337
Roundcube.Webmail.rcube_washtml.php.XSS,https://www.fortiguard.com/encyclopedia/ips/54306
Sinilink.XY-WFT1.CVE-2022-43704.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54307
Hikvision.Access.Control.Intercom.update.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54299
PyTorch.Model.Server.Insecure.Remote.MAR.File.Download.Request,https://www.fortiguard.com/encyclopedia/ips/54226
SAP.BSP.Test.Application.it00.ApplicationURL.Open.Redirect,https://www.fortiguard.com/encyclopedia/ips/54178
Apache.Tomcat.FormAuthenticator.Open.Redirect,https://www.fortiguard.com/encyclopedia/ips/54103
FG-VD-53974.0day,https://www.fortiguard.com/encyclopedia/ips/53974
FG-VD-53990.0day,https://www.fortiguard.com/encyclopedia/ips/53990
Suprema.BioStar.2.search_month.values.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53838
FortiOS.Guest.Management.XSS,https://www.fortiguard.com/encyclopedia/ips/53704
Zimbra.Collaboration.momoveto.XSS,https://www.fortiguard.com/encyclopedia/ips/53730
JetBrains.TeamCity.Copy.Build.Step.Reflected.XSS,https://www.fortiguard.com/encyclopedia/ips/53668
Pi-Hole.AdminLTE.phpqueryads.Unauthorized.Access,https://www.fortiguard.com/encyclopedia/ips/53602
Juniper.Networks.JUNOS.JWeb.Improper.Authentication,https://www.fortiguard.com/encyclopedia/ips/53595
Linux.Kernel.ksmbd.Module.ksmbd_tcp_readv.Function.DoS,https://www.fortiguard.com/encyclopedia/ips/53585
H2.Web.Interface.Create.Alias.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53572
LibreNMS.Ports.list.inc.php.Reflected.XSS,https://www.fortiguard.com/encyclopedia/ips/53578
FortiOS.SSL.VPN.Proxy.Null.Pointer.Dereference.DoS,https://www.fortiguard.com/encyclopedia/ips/53472
Advantech.WebAccess.LogPg.asp.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53556
Advantech.WebAccess.Quality.asp.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53560
FortiOS.SSL.VPN.CVE-2023-36641.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53481
GE.MDS.PulseNET.File.Name.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/53553
WordPress.Forminator.Plugin.Reflected.XSS,https://www.fortiguard.com/encyclopedia/ips/53548
Unified.Automation.UaGateway.ImportCsv.DoS,https://www.fortiguard.com/encyclopedia/ips/53529
