title,link
ConnectWise.ScreenConnect.SetupModule.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54714
AVE.DOMINAplus.restart.php.DoS,https://www.fortiguard.com/encyclopedia/ips/54674
Apache.Tomcat.InputBuffer.HTTP.Request.Smuggling,https://www.fortiguard.com/encyclopedia/ips/54684
Apple.macOS.CoreGraphics.PDFdecoder.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/54699
ClamAV.initialize_encryption_key.DoS,https://www.fortiguard.com/encyclopedia/ips/54698
ManageEngine.ADManager.Plus.Recovery.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/54686
TP-Link.ER7206.httpd.Wireguard.VPN.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54680
TP-Link.ER7206.uhttpd.ipsec.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54681
Voltronic.Power.ViewPower.Pro.selectEventConfig.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/54682
MS.Windows.SmartScreen.CVE-2024-21412.Security.Feature.Bypass,https://www.fortiguard.com/encyclopedia/ips/54678
TP-Link.ER7206.uhttpd.GRE.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54670
TP-Link.ER7206.uhttpd.PPTP.client.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54672
TP-Link.ER7206.uhttpd.PPTP.global.config.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54666
TP-Link.ER7206.uhttpd.freeStrategy.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54671
TP-Link.ER7206.uhttpd.web.filtering.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54665
TP-Link.ER7206.uhttpd.web.group.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54667
WordPress.Backup.Migration.Plugin.ajax.php.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54668
Adobe.Acrobat.Reader.CVE-2024-20726.Out.of.Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/54646
Adobe.Acrobat.Reader.CVE-2024-20727.Out.of.Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/54647
Adobe.Acrobat.Reader.CVE-2024-20728.Out.of.Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/54652
Adobe.Acrobat.Reader.CVE-2024-20729.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/54653
Adobe.Acrobat.Reader.CVE-2024-20730.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/54643
Adobe.Acrobat.Reader.CVE-2024-20731.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/54644
Adobe.Acrobat.Reader.CVE-2024-20733.Improper.Input.Validation,https://www.fortiguard.com/encyclopedia/ips/54648
Adobe.Acrobat.Reader.CVE-2024-20734.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/54645
Adobe.Acrobat.Reader.CVE-2024-20735.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/54654
Adobe.Acrobat.Reader.CVE-2024-20736.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/54657
Adobe.Acrobat.Reader.CVE-2024-20747.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/54655
Adobe.Acrobat.Reader.CVE-2024-20748.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/54656
Adobe.Acrobat.Reader.CVE-2024-20749.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/54650
IA.Ignition.ModuleInvoke.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/54663
MS.Windows.CVE-2024-21338.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/54621
MS.Windows.CVE-2024-21345.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/54622
MS.Windows.Kernel.CVE-2024-21371.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/54618
MS.Windows.Win32k.CVE-2024-21346.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/54620
MS.Word.CVE-2024-21379.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/54619
Arcserve.UDP.RPSService4CPMImpl.Unrestricted.File.Upload,https://www.fortiguard.com/encyclopedia/ips/54639
Proxmox.VE.TOTP.Brute.Force,https://www.fortiguard.com/encyclopedia/ips/54659
Squid.Proxy.HTTP.Message.Processing.DoS,https://www.fortiguard.com/encyclopedia/ips/54661
Nspps.Botnet,https://www.fortiguard.com/encyclopedia/ips/54617
